Country/Region,Confirmed,Deaths,Recovered,Active,Cluster
Afghanistan,36263,1269,25198,20311,0
Albania,4880,144,2745,1991,0
Algeria,27973,1163,18837,8114,0
Andorra,907,52,803,504,0
Angola,950,41,242,667,0
Antigua and Barbuda,86,3,65,44,0
Argentina,167416,3059,72575,91782,0
Armenia,37390,711,26665,12143,0
Australia,15303,167,9311,5825,0
Austria,20558,713,18246,9334,0
Azerbaijan,30446,423,23242,8651,0
Bahamas,382,11,91,280,0
Bahrain,39482,141,36110,5727,0
Bangladesh,226225,2965,125683,97577,0
Barbados,110,7,94,56,0
Belarus,67251,538,60492,25477,0
Belgium,66428,9822,17452,39154,0
Belize,48,2,26,20,0
Benin,1770,35,1036,929,0
Bhutan,99,0,86,48,0
Bolivia,71181,2647,21478,47056,0
Bosnia and Herzegovina,10498,294,4930,5274,0
Botswana,739,2,63,674,0
Brazil,2442375,87618,1846641,583080,2
Brunei,141,3,138,109,0
Bulgaria,10621,347,5585,4732,0
Burkina Faso,1100,53,926,321,0
Burma,350,6,292,131,0
Burundi,378,1,301,120,0
Cabo Verde,2328,22,1550,1080,0
Cambodia,226,0,147,88,0
Cameroon,17110,391,14539,4183,0
Canada,116458,8944,0,107514,0
Central African Republic,4599,59,1546,3095,0
Chad,922,75,810,400,0
Chile,347923,9187,319954,82961,3
China,86783,4656,78869,58739,0
Colombia,257101,8777,131161,117163,0
Comoros,354,7,328,104,0
Congo (Brazzaville),3200,54,829,2317,0
Congo (Kinshasa),8844,208,5700,5722,0
Costa Rica,15841,115,3824,11902,0
Cote d'Ivoire,15655,96,10361,6170,0
Croatia,4881,139,3936,1258,0
Cuba,2532,87,2351,849,0
Cyprus,1060,19,852,692,0
Czechia,15516,373,11428,5397,0
Denmark,13761,613,12605,3838,0
Djibouti,5059,58,4977,2390,0
Dominica,18,0,18,14,0
Dominican Republic,64156,1083,30204,33242,0
Ecuador,81161,5532,34896,40733,0
Egypt,92482,4652,34838,55230,0
El Salvador,15035,408,7778,6849,0
Equatorial Guinea,3071,51,842,2178,0
Eritrea,265,0,191,159,0
Estonia,2034,69,1923,1395,0
Eswatini,2316,34,1025,1257,0
Ethiopia,14547,228,6386,7933,0
Fiji,27,0,18,17,0
Finland,7398,329,6920,2865,0
France,220352,30212,81212,108928,3
Gabon,7189,49,4682,3143,0
Gambia,326,8,66,252,0
Georgia,1137,16,922,367,0
Germany,207112,9125,190314,72864,0
Ghana,33624,168,29801,8585,0
